Spec,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Strike,dtExpiry,dtTrade,Mid,QuickDelta,IVBid,IVAsk,IR,IDIV,ATMVol,Fwd,T
11 Sep 1300.00 (SPX1117I1300-E),64.0,0.1,63.5,67.2,1050,59767,C,1300.0,2011-09-17,2011-01-24,65.35,0.454874300256,0.17990654812,0.188966572227,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1325.00 (SPX1117I1325-E),50.8,-3.3,50.7,54.4,250,7632,C,1325.0,2011-09-17,2011-01-24,52.55,0.406011389397,0.17275687723,0.18196312293,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1350.00 (SPX1117I1350-E),41.25,0.45,39.7,43.5,1,4185,C,1350.0,2011-09-17,2011-01-24,41.6,0.359441333914,0.166555347085,0.176374509035,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1375.00 (SPX1117I1375-E),33.1,0.0,30.3,34.1,0,3325,C,1375.0,2011-09-17,2011-01-24,32.2,0.315668272682,0.160725029557,0.171176046979,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1400.00 (SPX1117I1400-E),24.3,1.3,22.4,26.1,502,39665,C,1400.0,2011-09-17,2011-01-24,24.25,0.275060057305,0.155004926372,0.166143530131,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1425.00 (SPX1117I1425-E),17.0,0.0,16.2,19.2,0,802,C,1425.0,2011-09-17,2011-01-24,17.7,0.237851752954,0.150228285974,0.160432455721,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1450.00 (SPX1117I1450-E),11.7,0.0,11.0,14.1,0,6181,C,1450.0,2011-09-17,2011-01-24,12.55,0.204155869123,0.144308977447,0.156639728579,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1125.00 (SPX1117U1125-E),33.1,0.0,31.6,35.3,0,8476,P,1125.0,2011-09-17,2011-01-24,33.45,0.797110329038,0.228110717016,0.240289551431,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1150.00 (SPX1117U1150-E),41.3,0.0,36.7,40.5,0,12886,P,1150.0,2011-09-17,2011-01-24,38.6,0.754189501392,0.221267552134,0.23288611847,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1175.00 (SPX1117U1175-E),45.6,-1.4,42.6,46.2,5630,4988,P,1175.0,2011-09-17,2011-01-24,44.4,0.707882932529,0.214620684386,0.224938869141,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1200.00 (SPX1117U1200-E),54.0,0.2,49.1,52.8,1,13418,P,1200.0,2011-09-17,2011-01-24,50.95,0.658967415554,0.207388229706,0.217404712292,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1225.00 (SPX1117U1225-E),62.2,0.0,56.3,60.1,0,5377,P,1225.0,2011-09-17,2011-01-24,58.2,0.608310916289,0.199617264792,0.209468088879,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1250.00 (SPX1117U1250-E),68.9,0.9,64.9,68.7,1,37941,P,1250.0,2011-09-17,2011-01-24,66.8,0.556820982134,0.192880758455,0.202390782894,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Sep 1275.00 (SPX1117U1275-E),78.5,0.0,74.6,78.4,0,5322,P,1275.0,2011-09-17,2011-01-24,76.5,0.505394697287,0.186073690382,0.195399762404,0.00411669458209,0.0197122320543,0.190330593806,1277.64148467,0.646575342466
11 Dec 1275.00 (SPX1117L1275-E),91.7,0.7,89.1,96.8,520,11390,C,1275.0,2011-12-17,2011-01-24,92.95,0.496014544097,0.188739706049,0.204886285878,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1300.00 (SPX1117L1300-E),79.8,2.2,75.4,83.1,851,115251,C,1300.0,2011-12-17,2011-01-24,79.25,0.454774277256,0.18293059268,0.199027763801,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1325.00 (SPX1117L1325-E),66.2,0.0,62.8,70.4,0,11277,C,1325.0,2011-12-17,2011-01-24,66.6,0.414785440245,0.177117841285,0.19316283042,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1350.00 (SPX1117L1350-E),55.1,1.3,51.4,59.1,700,21892,C,1350.0,2011-12-17,2011-01-24,55.25,0.376382369581,0.171389512269,0.188044269334,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1375.00 (SPX1117L1375-E),43.1,-1.5,41.2,48.8,400,10081,C,1375.0,2011-12-17,2011-01-24,45.0,0.33983640802,0.165645787728,0.182765922814,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1400.00 (SPX1117L1400-E),36.2,0.0,32.4,40.1,114,71341,C,1400.0,2011-12-17,2011-01-24,36.25,0.305355420052,0.16029209573,0.178668481994,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1425.00 (SPX1117L1425-E),28.05,0.05,24.5,32.4,10,13219,C,1425.0,2011-12-17,2011-01-24,28.45,0.273085865926,0.154071012403,0.174475572492,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1450.00 (SPX1117L1450-E),21.0,-1.0,18.9,25.2,1250,22432,C,1450.0,2011-12-17,2011-01-24,22.05,0.243116888939,0.150914098517,0.168868097684,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1475.00 (SPX1117L1475-E),17.0,0.0,13.6,19.9,0,5519,C,1475.0,2011-12-17,2011-01-24,16.75,0.215485864485,0.145459491379,0.165746809448,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1090.00 (SPX1117X1090-E),0.0,0.0,37.1,44.8,0,0,P,1090.0,2011-12-17,2011-01-24,40.95,0.795753770781,0.234213394911,0.256094410947,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1095.00 (SPX1117X1095-E),0.0,0.0,38.1,45.8,0,0,P,1095.0,2011-12-17,2011-01-24,41.95,0.788760458293,0.233067193321,0.254655851496,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1100.00 (SPX1117X1100-E),45.0,-0.3,39.1,46.8,6000,88748,P,1100.0,2011-12-17,2011-01-24,42.95,0.781661609379,0.231840194892,0.253164397706,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1125.00 (SPX1117X1125-E),49.0,-0.5,44.5,52.2,1,22724,P,1125.0,2011-12-17,2011-01-24,48.35,0.744698400035,0.225921824666,0.245982710811,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1140.00 (SPX1117X1140-E),79.8,0.0,48.2,55.8,0,80,P,1140.0,2011-12-17,2011-01-24,52.0,0.721472106435,0.222771005307,0.241912637333,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1150.00 (SPX1117X1150-E),58.0,0.0,50.6,58.1,1500,44342,P,1150.0,2011-12-17,2011-01-24,54.35,0.705613876203,0.220170643461,0.238673484738,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1175.00 (SPX1117X1175-E),62.0,-1.6,57.1,64.8,10,25868,P,1175.0,2011-12-17,2011-01-24,60.95,0.66489353051,0.213743586683,0.231836434634,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1180.00 (SPX1117X1180-E),74.5,0.0,58.5,66.2,0,26,P,1180.0,2011-12-17,2011-01-24,62.35,0.656598326872,0.212489452952,0.230417715792,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1200.00 (SPX1117X1200-E),72.3,0.0,64.5,72.2,0,54771,P,1200.0,2011-12-17,2011-01-24,68.35,0.623054028672,0.20769929604,0.225056743699,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1225.00 (SPX1117X1225-E),79.6,0.7,72.7,80.4,600,5463,P,1225.0,2011-12-17,2011-01-24,76.55,0.580621677389,0.201622489647,0.218406538912,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
11 Dec 1250.00 (SPX1117X1250-E),85.0,-3.2,81.9,89.5,1750,24256,P,1250.0,2011-12-17,2011-01-24,85.7,0.538112443717,0.195798495613,0.211965555034,0.00468814004995,0.0203434906722,0.197990680852,1272.61520491,0.895890410959
12 Jun 1275.00 (SPX1216F1275-E),110.7,0.0,110.7,118.2,0,1410,C,1275.0,2012-06-16,2011-01-24,114.45,0.485949166614,0.196015616435,0.208760029306,0.00603898242904,0.0208779744964,0.205287520409,1264.15788736,1.39452054795
